AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /dashboard
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /roles
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /regions
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /business-units
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /users
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /subcategories
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /clients
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /unit-of-measure
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /currency
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /import-errors
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /reporting
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /client-settings
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /settings
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /screen-permissions
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /dashboard
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /dashboard
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /invoices
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /suppliers
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /regions
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /roles
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /business-units
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /users
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /clients
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /subcategories
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /currency
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /unit-of-measure
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /import-errors
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /settings
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /reporting
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /client-settings
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /screen-permissions
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /dashboard
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /dashboard
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /invoices
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /regions
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /suppliers
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /business-units
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /roles
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /subcategories
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /clients
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /users
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /unit-of-measure
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /currency
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /import-errors
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /reporting
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /client-settings
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /screen-permissions
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /settings
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /dashboard
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /dashboard
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /suppliers
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /invoices
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /roles
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /regions
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /business-units
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /clients
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /users
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /subcategories
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /unit-of-measure
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /currency
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /import-errors
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /reporting
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /client-settings
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /screen-permissions
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /settings
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /dashboard
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /invoices
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /dashboard
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /roles
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /suppliers
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /regions
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /business-units
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /users
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /subcategories
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /clients
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /currency
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /unit-of-measure
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /import-errors
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /settings
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /reporting
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /client-settings
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /screen-permissions
AUDIT: user=client_admin, client_id=2, action=check_screen_permission, details=Check access to /dashboard
